"iso2c","year","value"
"AE",1998,NA
"AF",1998,NA
"AL",1998,NA
"AM",1998,NA
"AO",1998,NA
"AR",1998,3
"AT",1998,7.5
"AU",1998,8.7
"AZ",1998,NA
"BA",1998,NA
"BB",1998,NA
"BD",1998,NA
"BE",1998,5.4
"BF",1998,NA
"BG",1998,2.9
"BH",1998,NA
"BI",1998,NA
"BJ",1998,NA
"BN",1998,NA
"BO",1998,2.8
"BR",1998,4
"BS",1998,NA
"BT",1998,NA
"BW",1998,6.1
"BY",1998,3.9
"BZ",1998,NA
"CA",1998,9.2
"CD",1998,NA
"CF",1998,NA
"CG",1998,NA
"CH",1998,8.9
"CI",1998,3.1
"CL",1998,6.8
"CM",1998,1.4
"CN",1998,3.5
"CO",1998,2.2
"CR",1998,5.6
"CS",1998,NA
"CU",1998,NA
"CV",1998,NA
"CY",1998,NA
"CZ",1998,4.8
"DE",1998,7.9
"DJ",1998,NA
"DK",1998,10
"DM",1998,NA
"DO",1998,NA
"DZ",1998,NA
"EC",1998,2.3
"EE",1998,5.7
"EG",1998,2.9
"ER",1998,NA
"ES",1998,6.1
"ET",1998,NA
"FI",1998,9.6
"FJ",1998,NA
"FR",1998,6.7
"GA",1998,NA
"GB",1998,8.7
"GD",1998,NA
"GE",1998,NA
"GH",1998,3.3
"GM",1998,NA
"GN",1998,NA
"GQ",1998,NA
"GR",1998,4.9
"GT",1998,3.1
"GW",1998,NA
"GY",1998,NA
"HK",1998,7.8
"HN",1998,1.7
"HR",1998,NA
"HT",1998,NA
"HU",1998,5
"ID",1998,2
"IE",1998,8.2
"IL",1998,7.1
"IN",1998,2.9
"IQ",1998,NA
"IR",1998,NA
"IS",1998,9.3
"IT",1998,4.6
"JM",1998,3.8
"JO",1998,4.7
"JP",1998,5.8
"KE",1998,2.5
"KG",1998,NA
"KH",1998,NA
"KI",1998,NA
"KM",1998,NA
"KP",1998,NA
"KR",1998,4.2
"KW",1998,NA
"KZ",1998,NA
"LA",1998,NA
"LB",1998,NA
"LC",1998,NA
"LK",1998,NA
"LR",1998,NA
"LS",1998,NA
"LT",1998,NA
"LU",1998,8.7
"LV",1998,2.7
"LY",1998,NA
"MA",1998,3.7
"MD",1998,NA
"ME",1998,NA
"MG",1998,NA
"MK",1998,NA
"ML",1998,NA
"MM",1998,NA
"MN",1998,NA
"MO",1998,NA
"MR",1998,NA
"MT",1998,NA
"MU",1998,5
"MV",1998,NA
"MW",1998,4.1
"MX",1998,3.3
"MY",1998,5.3
"MZ",1998,NA
"NA",1998,5.3
"NE",1998,NA
"NG",1998,1.9
"NI",1998,3
"NL",1998,9
"NO",1998,9
"NP",1998,NA
"NZ",1998,9.4
"OM",1998,NA
"PA",1998,NA
"PE",1998,4.5
"PG",1998,NA
"PH",1998,3.3
"PK",1998,2.7
"PL",1998,4.6
"PR",1998,NA
"PS",1998,NA
"PT",1998,6.5
"PY",1998,1.5
"QA",1998,NA
"RO",1998,3
"RS",1998,3
"RU",1998,2.4
"RW",1998,NA
"SA",1998,NA
"SB",1998,NA
"SC",1998,NA
"SD",1998,NA
"SE",1998,9.5
"SG",1998,9.1
"SI",1998,NA
"SK",1998,3.9
"SL",1998,NA
"SN",1998,3.3
"SO",1998,NA
"SR",1998,NA
"ST",1998,NA
"SV",1998,3.6
"SY",1998,NA
"SZ",1998,NA
"TD",1998,NA
"TG",1998,NA
"TH",1998,3
"TJ",1998,NA
"TL",1998,NA
"TM",1998,NA
"TN",1998,5
"TO",1998,NA
"TR",1998,3.4
"TT",1998,NA
"TW",1998,5.3
"TZ",1998,1.9
"UA",1998,2.8
"UG",1998,2.6
"US",1998,7.5
"UY",1998,4.3
"UZ",1998,NA
"VC",1998,NA
"VE",1998,2.3
"VN",1998,2.5
"VU",1998,NA
"WS",1998,NA
"YE",1998,NA
"ZA",1998,5.2
"ZM",1998,3.5
"ZW",1998,4.2
"AE",1999,NA
"AF",1999,NA
"AL",1999,2.3
"AM",1999,2.5
"AO",1999,NA
"AR",1999,3
"AT",1999,7.6
"AU",1999,8.7
"AZ",1999,1.7
"BA",1999,NA
"BB",1999,NA
"BD",1999,NA
"BE",1999,5.3
"BF",1999,NA
"BG",1999,3.3
"BH",1999,NA
"BI",1999,NA
"BJ",1999,NA
"BN",1999,NA
"BO",1999,2.5
"BR",1999,4.1
"BS",1999,NA
"BT",1999,NA
"BW",1999,6.1
"BY",1999,3.4
"BZ",1999,NA
"CA",1999,9.2
"CD",1999,NA
"CF",1999,NA
"CG",1999,NA
"CH",1999,8.9
"CI",1999,2.6
"CL",1999,6.9
"CM",1999,1.5
"CN",1999,3.4
"CO",1999,2.9
"CR",1999,5.1
"CS",1999,NA
"CU",1999,NA
"CV",1999,NA
"CY",1999,NA
"CZ",1999,4.6
"DE",1999,8
"DJ",1999,NA
"DK",1999,10
"DM",1999,NA
"DO",1999,NA
"DZ",1999,NA
"EC",1999,2.4
"EE",1999,5.7
"EG",1999,3.3
"ER",1999,NA
"ES",1999,6.6
"ET",1999,NA
"FI",1999,9.8
"FJ",1999,NA
"FR",1999,6.6
"GA",1999,NA
"GB",1999,8.6
"GD",1999,NA
"GE",1999,2.3
"GH",1999,3.3
"GM",1999,NA
"GN",1999,NA
"GQ",1999,NA
"GR",1999,4.9
"GT",1999,3.2
"GW",1999,NA
"GY",1999,NA
"HK",1999,7.7
"HN",1999,1.8
"HR",1999,2.7
"HT",1999,NA
"HU",1999,5.2
"ID",1999,1.7
"IE",1999,7.7
"IL",1999,6.8
"IN",1999,2.9
"IQ",1999,NA
"IR",1999,NA
"IS",1999,9.2
"IT",1999,4.7
"JM",1999,3.8
"JO",1999,4.4
"JP",1999,6
"KE",1999,2
"KG",1999,2.2
"KH",1999,NA
"KI",1999,NA
"KM",1999,NA
"KP",1999,NA
"KR",1999,3.8
"KW",1999,NA
"KZ",1999,2.3
"LA",1999,NA
"LB",1999,NA
"LC",1999,NA
"LK",1999,NA
"LR",1999,NA
"LS",1999,NA
"LT",1999,3.8
"LU",1999,8.8
"LV",1999,3.4
"LY",1999,NA
"MA",1999,4.1
"MD",1999,2.6
"ME",1999,NA
"MG",1999,NA
"MK",1999,3.3
"ML",1999,NA
"MM",1999,NA
"MN",1999,4.3
"MO",1999,NA
"MR",1999,NA
"MT",1999,NA
"MU",1999,4.9
"MV",1999,NA
"MW",1999,4.1
"MX",1999,3.4
"MY",1999,5.1
"MZ",1999,3.5
"NA",1999,5.3
"NE",1999,NA
"NG",1999,1.6
"NI",1999,3.1
"NL",1999,9
"NO",1999,8.9
"NP",1999,NA
"NZ",1999,9.4
"OM",1999,NA
"PA",1999,NA
"PE",1999,4.5
"PG",1999,NA
"PH",1999,3.6
"PK",1999,2.2
"PL",1999,4.2
"PR",1999,NA
"PS",1999,NA
"PT",1999,6.7
"PY",1999,2
"QA",1999,NA
"RO",1999,3.3
"RS",1999,2
"RU",1999,2.4
"RW",1999,NA
"SA",1999,NA
"SB",1999,NA
"SC",1999,NA
"SD",1999,NA
"SE",1999,9.4
"SG",1999,9.1
"SI",1999,6
"SK",1999,3.7
"SL",1999,NA
"SN",1999,3.4
"SO",1999,NA
"SR",1999,NA
"ST",1999,NA
"SV",1999,3.9
"SY",1999,NA
"SZ",1999,NA
"TD",1999,NA
"TG",1999,NA
"TH",1999,3.2
"TJ",1999,NA
"TL",1999,NA
"TM",1999,NA
"TN",1999,5
"TO",1999,NA
"TR",1999,3.6
"TT",1999,NA
"TW",1999,5.6
"TZ",1999,1.9
"UA",1999,2.6
"UG",1999,2.2
"US",1999,7.5
"UY",1999,4.4
"UZ",1999,1.8
"VC",1999,NA
"VE",1999,2.6
"VN",1999,2.6
"VU",1999,NA
"WS",1999,NA
"YE",1999,NA
"ZA",1999,5
"ZM",1999,3.5
"ZW",1999,4.1
"AE",2000,NA
"AF",2000,NA
"AL",2000,NA
"AM",2000,2.5
"AO",2000,1.7
"AR",2000,3.5
"AT",2000,7.7
"AU",2000,8.3
"AZ",2000,1.5
"BA",2000,NA
"BB",2000,NA
"BD",2000,NA
"BE",2000,6.1
"BF",2000,3
"BG",2000,3.5
"BH",2000,NA
"BI",2000,NA
"BJ",2000,NA
"BN",2000,NA
"BO",2000,2.7
"BR",2000,3.9
"BS",2000,NA
"BT",2000,NA
"BW",2000,6
"BY",2000,4.1
"BZ",2000,NA
"CA",2000,9.2
"CD",2000,NA
"CF",2000,NA
"CG",2000,NA
"CH",2000,8.6
"CI",2000,2.7
"CL",2000,7.4
"CM",2000,2
"CN",2000,3.1
"CO",2000,3.2
"CR",2000,5.4
"CS",2000,NA
"CU",2000,NA
"CV",2000,NA
"CY",2000,NA
"CZ",2000,4.3
