"country","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"AE",NA,NA,NA,NA,NA,5.2,6.1,6.2,6.2,5.7,5.9,6.5,6.3,6.82,68,69,70
"AF",NA,NA,NA,NA,NA,NA,NA,2.5,NA,1.8,1.5,1.3,1.4,1.52,8,8,12
"AL",NA,2.3,NA,NA,2.5,2.5,2.5,2.4,2.6,2.9,3.4,3.2,3.3,3.05,33,31,33
"AM",NA,2.5,2.5,NA,NA,3,3.1,2.9,2.9,3,2.9,2.7,2.6,2.63,34,36,37
"AO",NA,NA,1.7,NA,1.7,1.8,2,2,2.2,2.2,1.9,1.9,1.9,2.01,22,23,19
"AR",3,3,3.5,3.5,2.8,2.5,2.5,2.8,2.9,2.9,2.9,2.9,2.9,3,35,34,34
"AT",7.5,7.6,7.7,7.8,7.8,8,8.4,8.7,8.6,8.1,8.1,7.9,7.9,7.79,69,69,72
"AU",8.7,8.7,8.3,8.5,8.6,8.8,8.8,8.8,8.7,8.6,8.7,8.7,8.7,8.84,85,81,80
"AZ",NA,1.7,1.5,2,2,1.8,1.9,2.2,2.4,2.1,1.9,2.3,2.4,2.38,27,28,29
"BA",NA,NA,NA,NA,NA,3.3,3.1,2.9,2.9,3.3,3.2,3,3.2,3.21,42,42,39
"BB",NA,NA,NA,NA,NA,NA,7.3,6.9,6.7,6.9,7,7.4,7.8,7.77,76,75,74
"BD",NA,NA,NA,0.4,1.2,1.3,1.5,1.7,2,2,2.1,2.4,2.4,2.66,26,27,25
"BE",5.4,5.3,6.1,6.6,7.1,7.6,7.5,7.4,7.3,7.1,7.3,7.1,7.1,7.49,75,75,76
"BF",NA,NA,3,NA,NA,NA,NA,3.4,3.2,2.9,3.5,3.6,3.1,3.05,38,38,38
"BG",2.9,3.3,3.5,3.9,4,3.9,4.1,4,4,4.1,3.6,3.8,3.6,3.33,41,41,43
"BH",NA,NA,NA,NA,NA,6.1,5.8,5.8,5.7,5,5.4,5.1,4.9,5.11,51,48,49
"BI",NA,NA,NA,NA,NA,NA,NA,2.3,2.4,2.5,1.9,1.8,1.8,1.94,19,21,20
"BJ",NA,NA,NA,NA,NA,NA,3.2,2.9,2.5,2.7,3.1,2.9,2.8,2.97,36,36,39
"BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,5.21,55,60,NA
"BO",2.8,2.5,2.7,2,2.2,2.3,2.2,2.5,2.7,2.9,3,2.7,2.8,2.76,34,34,35
"BR",4,4.1,3.9,4,4,3.9,3.9,3.7,3.3,3.5,3.5,3.7,3.7,3.77,43,42,43
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29,71,71,71
"BT",NA,NA,NA,NA,NA,NA,NA,NA,6,5,5.2,5,5.7,5.74,63,63,65
"BW",6.1,6.1,6,6,6.4,5.7,6,5.9,5.6,5.4,5.8,5.6,5.8,6.08,65,64,63
"BY",3.9,3.4,4.1,NA,4.8,4.2,3.3,2.6,2.1,2.1,2,2.4,2.5,2.42,31,29,31
"BZ",NA,NA,NA,NA,NA,4.5,3.8,3.7,3.5,3,2.9,NA,NA,NA,NA,NA,NA
"CA",9.2,9.2,9.2,8.9,9,8.7,8.5,8.4,8.5,8.7,8.7,8.7,8.9,8.67,84,81,81
"CD",NA,NA,NA,NA,NA,NA,2,2.1,2,1.9,1.7,1.9,2,2.02,21,22,22
"CF",NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,2,2,2.1,2.21,26,25,24
"CG",NA,NA,NA,NA,NA,2.2,2.3,2.3,2.2,2.1,1.9,NA,NA,2.15,26,22,23
"CH",8.9,8.9,8.6,8.4,8.5,8.8,9.1,9.1,9.1,9,9,9,8.7,8.8,86,85,86
"CI",3.1,2.6,2.7,2.4,2.7,2.1,2,1.9,2.1,2.1,2,2.1,2.2,2.23,29,27,32
"CL",6.8,6.9,7.4,7.5,7.5,7.4,7.4,7.3,7.3,7,6.9,6.7,7.2,7.21,72,71,73
"CM",1.4,1.5,2,2,2.2,1.8,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.45,26,25,27
"CN",3.5,3.4,3.1,3.5,3.5,3.4,3.4,3.2,3.3,3.5,3.6,3.6,3.5,3.64,39,40,36
"CO",2.2,2.9,3.2,3.8,3.6,3.7,3.8,4,3.9,3.8,3.8,3.7,3.5,3.45,36,36,37
"CR",5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5,5.1,5.3,5.3,4.8,54,53,54
"CS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.85,34,33,33
"CU",NA,NA,NA,NA,NA,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16,48,46,46
"CV",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5.1,5.1,5.1,5.52,60,58,57
"CY",NA,NA,NA,NA,NA,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27,66,63,63
"CZ",4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,5.2,5.2,4.9,4.6,4.37,49,48,51
"DE",7.9,8,7.6,7.4,7.3,7.7,8.2,8.2,8,7.8,7.9,8,7.9,8.05,79,78,79
"DJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3,2.8,3.2,2.98,36,36,34
"DK",10,10,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,90,91,92
"DM",NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.6,6,5.9,5.2,5.17,58,58,58
"DO",NA,NA,NA,3.1,3.5,3.3,2.9,3,2.8,3,3,3,3,2.59,32,29,32
"DZ",NA,NA,NA,NA,NA,2.6,2.7,2.8,3.1,3,3.2,2.8,2.9,2.9,34,36,36
"EC",2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2,2.2,2.5,2.65,32,35,33
"EE",5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69
"EG",2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32,32,37
"ER",NA,NA,NA,NA,NA,NA,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25,20,18
